10000,17, 1, 1
20000,2, 2, 4
30000,3, 3, 4
40000,10, 4, 4
50000,6, 11, 6
60000,15, 7, 7
70000,8, 9, 19
80000,9, 18, 11
90000,13, 22, 12
100000,13, 20, 14
110000,15, 21, 25
120000,23, 18, 29
130000,31, 20, 34
140000,23, 23, 25
150000,22, 22, 44
160000,30, 23, 43
170000,28, 39, 28
180000,37, 32, 23
190000,49, 26, 29
200000,43, 42, 26
210000,52, 31, 33
220000,38, 48, 26
230000,37, 49, 44
240000,39, 94, 64
250000,99, 75, 98
260000,63, 170, 74
270000,111, 86, 97
280000,145, 76, 105
290000,131, 83, 88
300000,124, 95, 150
310000,140, 94, 169
320000,149, 209, 102
330000,150, 90, 131
340000,175, 84, 168
350000,157, 109, 162
360000,187, 196, 125
370000,124, 208, 107
380000,163, 111, 185
390000,174, 170, 146
400000,203, 160, 143
410000,185, 224, 113
420000,166, 172, 137
430000,186, 159, 165
440000,206, 204, 171
450000,206, 173, 165
460000,146, 167, 181
470000,208, 197, 179
480000,134, 135, 188
490000,156, 253, 176
500000,252, 227, 203
510000,168, 179, 212
520000,247, 207, 264
530000,194, 145, 190
540000,259, 256, 191
550000,240, 179, 167
560000,237, 393, 192
570000,255, 265, 193
580000,252, 243, 277
590000,310, 242, 279
600000,307, 245, 286
610000,298, 230, 241
620000,337, 251, 271
630000,322, 148, 198
640000,428, 260, 227
650000,202, 217, 436
660000,297, 287, 272
670000,310, 274, 225
680000,427, 270, 160
690000,359, 327, 273
700000,367, 336, 264
710000,310, 321, 250
720000,293, 312, 209
730000,383, 389, 306
740000,336, 319, 311
750000,338, 228, 273
760000,391, 320, 266
770000,391, 402, 244
780000,463, 324, 345
790000,238, 150, 283
800000,467, 294, 370
810000,465, 365, 265
820000,366, 348, 282
830000,384, 281, 309
840000,377, 335, 295
850000,408, 162, 303
860000,553, 341, 371
870000,418, 349, 481
880000,291, 485, 373
890000,431, 327, 383
900000,435, 353, 328
910000,708, 288, 315
920000,403, 457, 314
930000,526, 397, 408
940000,403, 469, 382
950000,353, 170, 173
960000,424, 422, 378
970000,491, 322, 433
980000,571, 391, 437
990000,459, 442, 445
1000000,689, 402, 340
