10000,14, 0, 0, 0, 0
30000,3, 3, 2, 2, 2
50000,8, 4, 4, 5, 4
70000,8, 6, 6, 7, 6
90000,11, 11, 9, 8, 9
110000,20, 12, 11, 11, 15
130000,17, 13, 21, 12, 12
150000,17, 19, 16, 18, 18
170000,21, 22, 19, 29, 25
190000,20, 30, 23, 21, 24
210000,33, 33, 35, 32, 27
230000,35, 35, 32, 32, 34
250000,33, 35, 39, 35, 33
270000,36, 35, 33, 30, 32
290000,39, 40, 35, 45, 38
310000,41, 40, 39, 35, 42
330000,43, 47, 45, 59, 42
350000,49, 56, 47, 60, 49
370000,52, 57, 45, 52, 43
390000,49, 73, 64, 61, 47
410000,53, 63, 65, 60, 68
430000,55, 73, 74, 64, 67
450000,62, 64, 59, 62, 61
470000,63, 65, 70, 70, 71
490000,65, 72, 69, 69, 64
510000,71, 80, 79, 82, 80
530000,78, 86, 80, 85, 82
550000,69, 97, 82, 81, 85
570000,82, 91, 87, 97, 84
590000,84, 85, 84, 88, 89
610000,106, 106, 89, 87, 94
630000,98, 87, 94, 99, 92
650000,103, 101, 94, 87, 87
670000,106, 109, 95, 102, 96
690000,113, 101, 103, 104, 96
710000,102, 113, 98, 99, 96
730000,112, 117, 106, 96, 99
750000,116, 115, 95, 112, 109
770000,107, 103, 119, 113, 108
790000,122, 116, 117, 116, 118
810000,117, 117, 126, 117, 124
830000,123, 113, 131, 120, 108
850000,132, 127, 128, 114, 123
870000,133, 130, 115, 109, 133
890000,131, 121, 118, 116, 134
910000,139, 129, 125, 128, 138
930000,134, 143, 146, 129, 164
950000,130, 151, 135, 147, 131
970000,128, 141, 153, 135, 138
990000,144, 145, 154, 159, 159
1010000,151, 153, 147, 148, 146
1030000,146, 159, 172, 169, 170
1050000,147, 163, 157, 155, 152
1070000,170, 169, 175, 160, 188
1090000,157, 161, 159, 173, 169
1110000,161, 161, 174, 175, 163
1130000,165, 185, 178, 186, 182
1150000,167, 177, 166, 186, 181
1170000,179, 177, 190, 177, 168
1190000,179, 173, 190, 191, 192
1210000,197, 191, 190, 195, 179
1230000,206, 203, 191, 180, 188
1250000,212, 196, 188, 205, 193
1270000,196, 180, 183, 206, 196
1290000,219, 204, 197, 188, 183
1310000,222, 210, 202, 209, 203
1330000,209, 212, 196, 212, 195
1350000,203, 208, 222, 193, 212
1370000,220, 206, 203, 203, 203
1390000,247, 199, 208, 233, 207
1410000,224, 215, 217, 217, 235
1430000,217, 205, 237, 226, 230
1450000,256, 218, 206, 227, 217
1470000,238, 227, 220, 230, 236
1490000,263, 236, 221, 239, 228
1510000,225, 218, 240, 234, 237
1530000,250, 234, 219, 238, 234
1550000,244, 266, 236, 260, 240
1570000,259, 246, 256, 270, 272
1590000,260, 282, 247, 244, 269
1610000,259, 264, 268, 252, 259
1630000,266, 277, 259, 254, 274
1650000,248, 277, 276, 276, 278
1670000,275, 280, 288, 259, 273
1690000,256, 282, 269, 274, 279
1710000,257, 275, 271, 259, 283
1730000,266, 291, 268, 297, 267
1750000,288, 306, 281, 277, 300
1770000,290, 313, 288, 300, 292
1790000,287, 299, 303, 284, 304
1810000,304, 300, 304, 279, 306
1830000,287, 301, 292, 309, 290
1850000,297, 299, 318, 284, 291
1870000,310, 292, 313, 307, 284
1890000,301, 321, 291, 328, 309
1910000,338, 317, 306, 312, 319
1930000,319, 300, 298, 300, 328
1950000,320, 305, 327, 324, 313
1970000,321, 334, 332, 313, 306
1990000,349, 348, 326, 340, 309
